zodiac,good_radicals,bad_radicals,good_meaning,bad_meaning,lucky_elements
鼠,"氵,王,艹,木,纟,口,宀,讠,钅,女,禾,月,贝,礻,巾,一,力,广,田,雨,儿,目,米,页","亻,土,日,马,木,火,阝,辶,艹,人,口,女,羊,欠,灬,彳,氵,扌,钅,月,十,宀,心,纟",由 johnwu1114/chinese-name 十二生肖 better 字库派生；原仓库按笔画列宜用字，本字段汇总部首。,由 johnwu1114/chinese-name 十二生肖 worse 字库派生；原仓库按笔画列忌用字，本字段汇总部首。,"土,木,水,金"
牛,"艹,氵,辶,钅,禾,木,宀,竹,阝,女,广,弓,一,子,酉,鸟,二,口,土,士,田,虫,隹,乙","亻,纟,王,日,忄,心,木,衤,月,马,礻,刂,口,艹,氵,阝,人,力,羊,衣,宀,彡,戈,欠",由 johnwu1114/chinese-name 十二生肖 better 字库派生；原仓库按笔画列宜用字，本字段汇总部首。,由 johnwu1114/chinese-name 十二生肖 worse 字库派生；原仓库按笔画列忌用字，本字段汇总部首。,"土,木,水,金"
虎,"氵,王,木,纟,忄,心,月,山,巾,女,马,羽,宀,水,十,大,子,彡,竹,雨,土,扌,羊,艹","亻,艹,口,日,辶,禾,礻,木,田,虫,贝,阝,氵,人,页,弓,彳,女,土,欠,门,宀,扌,米",由 johnwu1114/chinese-name 十二生肖 better 字库派生；原仓库按笔画列宜用字，本字段汇总部首。,由 johnwu1114/chinese-name 十二生肖 worse 字库派生；原仓库按笔画列忌用字，本字段汇总部首。,"土,木,水,金"
兔,"艹,木,氵,纟,口,女,宀,竹,禾,田,阝,囗,亠,子,扌,雨,一,土,尸,彡,水,目,八,广","亻,日,忄,王,心,鸟,羽,月,贝,钅,酉,宀,人,木,欠,氵,页,艹,口,阝,大,山,纟,鹿",由 johnwu1114/chinese-name 十二生肖 better 字库派生；原仓库按笔画列宜用字，本字段汇总部首。,由 johnwu1114/chinese-name 十二生肖 worse 字库派生；原仓库按笔画列忌用字，本字段汇总部首。,"土,木,水"
龙,"氵,日,王,纟,木,讠,月,羽,子,雨,巾,水,马,大,女,彡,竹,糸,丶,力,十,白,目,衣","艹,亻,口,忄,宀,心,木,禾,山,广,氵,辶,穴,刂,月,门,阝,田,戈,犭,力,尸,弓,女",由 johnwu1114/chinese-name 十二生肖 better 字库派生；原仓库按笔画列宜用字，本字段汇总部首。,由 johnwu1114/chinese-name 十二生肖 worse 字库派生；原仓库按笔画列忌用字，本字段汇总部首。,"木,水,火,金"
蛇,"木,口,宀,纟,艹,讠,辶,心,火,女,竹,忄,阝,王,马,囗,月,一,田,广,鸟,巾,羽,贝","氵,亻,艹,日,禾,刂,木,山,人,力,王,冫,口,扌,欠,钅,又,攵,米,子,戈,辶,弓,纟",由 johnwu1114/chinese-name 十二生肖 better 字库派生；原仓库按笔画列宜用字，本字段汇总部首。,由 johnwu1114/chinese-name 十二生肖 worse 字库派生；原仓库按笔画列忌用字，本字段汇总部首。,"土,木,火,金"
马,"艹,木,亻,纟,辶,火,讠,禾,女,竹,宀,口,贝,页,广,一,弓,彡,灬,立,羽,走,丿,人","氵,日,忄,心,月,子,田,口,山,彳,冫,艹,木,又,攵,女,米,扌,阝,牜,王,亻,土,水",由 johnwu1114/chinese-name 十二生肖 better 字库派生；原仓库按笔画列宜用字，本字段汇总部首。,由 johnwu1114/chinese-name 十二生肖 worse 字库派生；原仓库按笔画列忌用字，本字段汇总部首。,"木,火"
羊,"艹,木,辶,土,宀,禾,女,火,竹,丿,口,马,一,十,弓,田,儿,立,阝,力,尸,米,足,丶","氵,纟,王,忄,日,心,衤,月,礻,刂,大,子,木,艹,冫,口,巾,亻,力,衣,阝,戈,扌,彡",由 johnwu1114/chinese-name 十二生肖 better 字库派生；原仓库按笔画列宜用字，本字段汇总部首。,由 johnwu1114/chinese-name 十二生肖 worse 字库派生；原仓库按笔画列忌用字，本字段汇总部首。,"土,木,火"
猴,"亻,氵,木,口,讠,纟,土,艹,宀,王,女,扌,子,贝,竹,囗,大,一,人,彳,雨,马,巾,广","钅,禾,刂,山,田,艹,日,氵,弓,力,木,米,口,戈,鸟,扌,阝,亻,火,王,辶,十,纟,虍",由 johnwu1114/chinese-name 十二生肖 better 字库派生；原仓库按笔画列宜用字，本字段汇总部首。,由 johnwu1114/chinese-name 十二生肖 worse 字库派生；原仓库按笔画列忌用字，本字段汇总部首。,"土,木,水,金"
鸡,"艹,辶,土,讠,山,口,宀,禾,纟,日,竹,阝,田,木,羽,立,贝,亻,十,巾,一,女,广,彡","王,忄,日,心,月,木,刂,艹,口,钅,犭,力,大,戈,亻,儿,弓,氵,火,纟,阝,土,宀,女",由 johnwu1114/chinese-name 十二生肖 better 字库派生；原仓库按笔画列宜用字，本字段汇总部首。,由 johnwu1114/chinese-name 十二生肖 worse 字库派生；原仓库按笔画列忌用字，本字段汇总部首。,"土,木,火"
狗,"亻,艹,土,纟,口,宀,心,王,忄,月,马,一,女,火,人,木,竹,十,巾,大,山,彡,讠,辶","氵,木,日,禾,鸟,贝,羽,刂,艹,田,酉,亻,冫,力,弓,口,戈,扌,王,讠,宀,阝,页,十",由 johnwu1114/chinese-name 十二生肖 better 字库派生；原仓库按笔画列宜用字，本字段汇总部首。,由 johnwu1114/chinese-name 十二生肖 worse 字库派生；原仓库按笔画列忌用字，本字段汇总部首。,"土,木,火,金"
猪,"氵,艹,木,女,钅,禾,口,宀,竹,子,米,山,广,田,水,雨,一,亠,儿,力,囗,目,立,鸟","纟,王,日,辶,衤,礻,刂,虫,阝,木,亻,衣,力,弓,艹,口,土,氵,大,巾,彡,戈,宀,扌",由 johnwu1114/chinese-name 十二生肖 better 字库派生；原仓库按笔画列宜用字，本字段汇总部首。,由 johnwu1114/chinese-name 十二生肖 worse 字库派生；原仓库按笔画列忌用字，本字段汇总部首。,"土,木,水,金"
